roi	label	name	size	symmetry	laterality	x	y	z	neighbour	parent	overlap
21	r21@197	21@MIST_197	230	0.78	-0.017	0.33	-6.53	-2.99	[8, 10, 23, 28, 29, 35, 54, 68, 87, 91, 128, 162]		0
22	r22@197	22@MIST_197	137	0.74	0.139	-0.9	37.74	41.4	[58, 76, 77, 95, 125, 133, 139]		0
23	r23@197	23@MIST_197	199	0.44	0.146	-3.3	12.61	-7.85	[10, 21, 54, 87, 91, 99, 104, 166, 170, 192, 197]		0
24	r24@197	24@MIST_197	194	0.61	0.124	-4.69	-42.91	-16.97	[42, 46, 49, 65, 68, 82, 85, 131, 136, 143, 146, 148, 164, 184, 191]		0
25	r25@197	25@MIST_197	149	0.63	0.315	-3.04	-25.83	29.27	[30, 62, 132, 155, 176, 187]		0
26	r26@197	26@MIST_197	198	0.55	0.389	-5.27	-26.82	3.47	[8, 9, 42, 43, 68]		0
27	r27@197	27@MIST_197	258	0.85	0.089	-0.56	-63.06	-38.71	[3, 14, 15, 33, 40, 61, 144, 157, 160, 189, 191]		0
28	r28@197	28@MIST_197	332	0.8	-0.151	4.13	-8.87	-16.87	[8, 10, 21, 68, 104, 117, 119, 126, 128, 131, 148, 192]		0
29	r29@197	29@MIST_197	205	0.0	1.0	-38.85	-22.67	14.27	[21, 38, 54, 91, 162, 173, 193, 196]		0
30	r30@197	30@MIST_197	157	0.85	-0.032	0.55	-44.47	23.05	[4, 16, 25, 62, 114, 132]		0
31	r31@197	31@MIST_197	229	0.0	1.0	-40.99	-22.62	61.9	[59, 80, 98, 101, 106, 163, 190]		0
32	r32@197	32@MIST_197	232	0.84	0.069	-0.38	43.12	-22.17	[18, 116, 141, 156, 195]		0
33	r33@197	33@MIST_197	202	0.69	-0.079	1.19	-50.83	-48.98	[3, 15, 27, 118, 144, 157]		0
34	r34@197	34@MIST_197	235	0.75	0.157	-3.08	4.85	17.6	[1, 5, 10, 43, 54, 100]		0
35	r35@197	35@MIST_197	228	0.0	-1.0	40.47	-19.57	18.88	[21, 38, 54, 87, 91, 101, 113, 159, 162, 166, 174, 180, 193]		0
36	r36@197	36@MIST_197	200	0.0	1.0	-54.98	-48.36	31.09	[19, 39, 57, 83, 90, 127, 193, 196]		0
37	r37@197	37@MIST_197	208	0.0	1.0	-41.19	1.19	47.89	[50, 59, 64, 80, 101, 137, 163, 171, 190]		0
38	r38@197	38@MIST_197	223	0.62	0.2739999999999999	-15.23	-6.06	10.58	[29, 35, 87, 91, 110, 162, 166, 173, 174, 180, 193, 196]		0
39	r39@197	39@MIST_197	279	0.0	1.0	-60.82	-30.48	34.88	[36, 57, 90, 163, 193, 196]		0
40	r40@197	40@MIST_197	159	0.79	0.038	-0.36	-75.94	-33.25	[12, 14, 27, 49, 55, 61, 122, 157, 160, 189]		0
41	r41@197	41@MIST_197	133	0.0	-1.0	44.01	40.5	1.47	[5, 69, 96, 97, 135, 151, 170, 197]		0
42	r42@197	42@MIST_197	360	0.8	0.003	0.2	-45.23	-8.42	[3, 4, 24, 26, 46, 49, 68, 70, 84, 93, 131, 132, 191]		0
43	r43@197	43@MIST_197	215	0.6	-0.023	0.11	-18.41	13.15	[8, 9, 26, 34, 68, 100]		0
44	r44@197	44@MIST_197	137	0.0	1.0	-24.94	31.45	38.66	[50, 58, 64, 77, 89]		0
45	r45@197	45@MIST_197	183	0.0	-1.0	50.75	6.77	-30.69	[109, 119, 145, 146, 166, 168, 192]		0
46	r46@197	46@MIST_197	327	0.67	-0.009	1.63	-57.4	-4.59	[24, 42, 49, 68, 70, 74, 85, 93, 131, 132, 154, 184, 191]		0
47	r47@197	47@MIST_197	185	0.0	1.0	-33.24	-81.79	-37.45	[53, 55, 56, 160, 189]		0
48	r48@197	48@MIST_197	232	0.49	0.384	-3.45	52.6	11.16	[77, 94, 96, 112, 116, 130, 133, 139, 141, 183]		0
49	r49@197	49@MIST_197	369	0.67	-0.257	6.2	-66.51	-18.77	[14, 24, 40, 42, 46, 55, 61, 81, 82, 85, 93, 122, 131, 143, 160, 164, 172, 184, 191]		0
50	r50@197	50@MIST_197	350	0.0	1.0	-41.13	17.73	39.99	[37, 44, 64, 77, 89, 137, 142, 163, 171]		0
51	r51@197	51@MIST_197	314	0.0	1.0	-41.5	0.5	-40.67	[92, 117, 126, 145, 179]		0
52	r52@197	52@MIST_197	228	0.0	1.0	-42.28	-78.51	6.55	[65, 75, 102, 107, 134, 138, 147, 152, 154, 164, 167, 184]		0
53	r53@197	53@MIST_197	189	0.0	1.0	-44.05	-55.38	-46.86	[47, 55, 56, 81, 82, 118, 144, 157, 189]		0
54	r54@197	54@MIST_197	388	0.75	0.165	-4.65	0.46	8.32	[1, 5, 8, 10, 21, 23, 29, 34, 35, 87, 91, 100, 104, 162, 174, 197]		0
55	r55@197	55@MIST_197	269	0.62	-0.093	0.12	-83.09	-26.17	[12, 40, 47, 49, 53, 56, 61, 79, 81, 122, 143, 160, 164, 172, 184, 189]		0
56	r56@197	56@MIST_197	214	0.0	1.0	-37.0	-65.75	-39.53	[14, 47, 53, 55, 81, 82, 143, 144, 157, 160, 189]		0
57	r57@197	57@MIST_197	213	0.0	1.0	-45.92	-45.27	47.96	[36, 39, 90, 127, 134, 149, 163, 165, 186]		0
58	r58@197	58@MIST_197	235	0.61	-0.132	0.55	26.51	39.85	[2, 11, 22, 44, 64, 77, 95, 120, 124, 125, 133, 139]		0
59	r59@197	59@MIST_197	259	0.55	0.22	-7.42	-15.72	44.4	[31, 37, 80, 90, 98, 101, 113, 137, 163, 171, 175, 177, 182, 190, 193]		0
60	r60@197	60@MIST_197	249	0.77	0.0279999999999999	-0.71	-90.11	30.18	[75, 102, 107, 121, 134, 138, 140, 150, 152, 161, 178]		0
61	r61@197	61@MIST_197	290	0.0	-1.0	22.39	-71.0	-30.29	[12, 14, 27, 40, 49, 55, 79, 82, 93, 172, 189]		0
62	r62@197	62@MIST_197	382	0.77	-0.152	1.51	-43.96	36.04	[4, 16, 25, 30, 108, 114, 140, 150, 155, 165, 169, 176, 178, 187]		0
63	r63@197	63@MIST_197	123	0.0	-1.0	31.68	55.07	5.9	[94, 96, 97, 151, 195]		0
64	r64@197	64@MIST_197	234	0.0	1.0	-25.76	19.13	52.91	[37, 44, 50, 58, 77, 95, 120, 137, 188]		0
65	r65@197	65@MIST_197	242	0.0	1.0	-45.11	-60.85	-7.88	[24, 52, 93, 131, 136, 143, 148, 164, 167, 184, 194]		0
66	r66@197	66@MIST_197	233	0.0	-1.0	38.37	-52.21	47.69	[17, 73, 111, 129, 140, 150, 159, 165, 177, 186]		0
67	r67@197	67@MIST_197	246	0.0	-1.0	43.16	-73.26	-1.12	[6, 75, 85, 107, 152, 164, 181, 184]		0
68	r68@197	68@MIST_197	382	0.81	0.126	-4.48	-30.96	-6.26	[21, 24, 26, 28, 42, 43, 46, 117, 126, 131, 132, 146, 148]		0
69	r69@197	69@MIST_197	301	0.0	-1.0	43.92	25.06	21.12	[5, 41, 86, 96, 97, 113, 115, 170, 175]		0
70	r70@197	70@MIST_197	302	0.58	-0.265	3.91	-73.98	9.32	[4, 16, 42, 46, 74, 85, 93, 102, 114, 121, 132, 138, 154, 161, 184]		0
71	r71@197	71@MIST_197	270	0.62	-0.074	1.5	-41.01	71.17	[13, 73, 98, 105, 106, 153, 155, 163, 186]		0
72	r72@197	72@MIST_197	246	0.0	1.0	-47.6	40.07	-5.9	[99, 110, 135, 142, 158, 197]		0
73	r73@197	73@MIST_197	200	0.0	-1.0	33.75	-39.36	59.57	[66, 71, 98, 105, 106, 155, 165, 176, 177, 182, 186]		0
74	r74@197	74@MIST_197	392	0.71	0.0819999999999999	-1.47	-63.33	8.28	[4, 16, 46, 70, 85, 93, 102, 114, 131, 132, 134, 138, 154, 161, 184]		0
75	r75@197	75@MIST_197	288	0.34	-0.604	27.88	-75.53	20.76	[6, 7, 52, 60, 67, 83, 107, 111, 134, 150, 167, 185]		0
76	r76@197	76@MIST_197	266	0.28	-0.6579999999999999	11.06	45.49	44.75	[22, 77, 94, 95, 96, 115, 125, 133]		0
77	r77@197	77@MIST_197	360	0.0	1.0	-20.38	41.47	40.07	[22, 44, 48, 50, 58, 64, 76, 89, 95, 112, 130, 133, 139]		0
78	r78@197	78@MIST_197	193	0.0	-1.0	23.07	5.62	55.34	[20, 80, 86, 103, 115, 120, 125, 175, 188, 190]		0
79	r79@197	79@MIST_197	455	0.0	-1.0	41.5	-60.93	-44.22	[12, 55, 61, 82, 118, 144, 157, 172, 189]		0
80	r80@197	80@MIST_197	175	0.37	-0.531	24.87	-5.61	51.79	[31, 37, 59, 78, 101, 113, 163, 175, 177, 182, 188, 190]		0
81	r81@197	81@MIST_197	277	0.0	1.0	-38.35	-65.33	-25.85	[14, 49, 53, 55, 56, 82, 122, 143, 148, 160, 164, 184]		0
82	r82@197	82@MIST_197	326	0.77	-0.025	0.52	-45.05	-34.52	[14, 24, 49, 53, 56, 61, 79, 81, 84, 118, 143, 148, 164, 172, 181, 191]		0
83	r83@197	83@MIST_197	318	0.0	1.0	-52.46	-57.35	17.49	[7, 19, 36, 75, 134, 167, 194, 196]		0
84	r84@197	84@MIST_197	151	0.81	0.053	-1.27	-41.55	-28.82	[3, 42, 82, 118, 191]		0
85	r85@197	85@MIST_197	220	0.0	-1.0	29.54	-59.88	-10.43	[24, 46, 49, 67, 70, 74, 93, 131, 148, 152, 164, 181, 184, 191]		0
86	r86@197	86@MIST_197	143	0.0	-1.0	27.94	16.31	42.62	[69, 78, 96, 115, 125, 175, 190]		0
87	r87@197	87@MIST_197	272	0.41	-0.426	20.47	6.48	5.74	[5, 10, 21, 23, 35, 38, 54, 91, 99, 101, 104, 110, 113, 162, 166, 170, 180, 197]		0
88	r88@197	88@MIST_197	284	0.0	-1.0	57.7	-34.01	-0.77	[91, 109, 123, 168, 173, 174, 181, 185, 192]		0
89	r89@197	89@MIST_197	421	0.0	1.0	-33.93	41.3	28.48	[44, 50, 77, 112, 130, 142, 158, 171]		0
90	r90@197	90@MIST_197	267	0.0	1.0	-41.56	-34.16	44.74	[36, 39, 57, 59, 101, 163, 165, 186, 193]		0
91	r91@197	91@MIST_197	420	0.66	0.024	-2.01	-7.26	-3.49	[10, 21, 23, 29, 35, 38, 54, 87, 88, 104, 109, 110, 162, 166, 173, 174, 179, 192, 196]		0
92	r92@197	92@MIST_197	178	0.0	1.0	-59.97	-10.19	-23.42	[51, 117, 145, 179, 192, 194]		0
93	r93@197	93@MIST_197	327	0.59	-0.015	-1.87	-73.18	-5.72	[42, 46, 49, 61, 65, 70, 74, 85, 122, 131, 132, 154, 161, 172, 184, 191]		0
94	r94@197	94@MIST_197	327	0.0	-1.0	15.94	61.96	13.69	[48, 63, 76, 96, 116, 130, 133, 141, 195]		0
95	r95@197	95@MIST_197	261	0.67	0.195	-2.22	29.83	55.7	[22, 58, 64, 76, 77, 115, 120, 125, 133, 188]		0
96	r96@197	96@MIST_197	373	0.0	-1.0	27.55	46.32	23.13	[5, 41, 48, 63, 69, 76, 86, 94, 97, 115, 125, 133, 139]		0
97	r97@197	97@MIST_197	218	0.0	-1.0	41.7	44.19	16.58	[5, 41, 63, 69, 96, 115, 151, 175]		0
98	r98@197	98@MIST_197	270	0.46	0.133	-4.48	-28.23	60.18	[13, 20, 31, 59, 71, 73, 105, 106, 137, 155, 163, 176, 182, 186, 190]		0
99	r99@197	99@MIST_197	230	0.0	1.0	-45.39	24.66	-3.79	[23, 72, 87, 104, 110, 135, 142, 166, 192, 197]		0
100	r100@197	100@MIST_197	264	0.67	0.08	-0.85	10.17	8.33	[1, 10, 18, 34, 43, 54]		0
101	r101@197	101@MIST_197	368	0.4	-0.473	26.51	-7.1	33.52	[31, 35, 37, 59, 80, 87, 90, 113, 163, 170, 171, 175, 177, 180, 182, 190, 193]		0
102	r102@197	102@MIST_197	298	0.68	0.195	-3.3	-79.15	28.82	[52, 60, 70, 74, 107, 114, 121, 134, 138, 140, 150, 178]		0
103	r103@197	103@MIST_197	342	0.69	-0.1369999999999999	1.38	-3.41	61.18	[13, 20, 78, 105, 106, 120, 124, 137, 188, 190]		0
104	r104@197	104@MIST_197	250	0.63	-0.296	9.61	18.25	-15.66	[10, 23, 28, 54, 87, 91, 99, 128, 135, 156, 170, 192, 197]		0
105	r105@197	105@MIST_197	394	0.71	0.094	-0.48	-25.2	61.99	[13, 20, 71, 73, 98, 103, 106, 153, 155, 176, 187, 190]		0
106	r106@197	106@MIST_197	286	0.43	0.091	-1.97	-22.71	71.36	[13, 20, 31, 71, 73, 98, 103, 105, 137, 163, 182, 188, 190]		0
107	r107@197	107@MIST_197	472	0.38	-0.377	12.89	-83.54	18.77	[7, 52, 60, 67, 75, 102, 134, 138, 140, 147, 150, 152, 167]		0
108	r108@197	108@MIST_197	311	0.65	-0.196	1.46	-53.23	49.67	[16, 62, 140, 153, 155, 165, 169, 176, 178, 186]		0
109	r109@197	109@MIST_197	216	0.0	-1.0	55.12	-7.96	-16.71	[45, 88, 91, 119, 146, 166, 168, 173, 192]		0
110	r110@197	110@MIST_197	212	0.0	1.0	-53.31	17.78	9.48	[38, 72, 87, 91, 99, 142, 162, 166, 171, 180, 197]		0
111	r111@197	111@MIST_197	234	0.0	-1.0	46.04	-65.58	34.94	[7, 17, 66, 75, 129, 150, 185]		0
112	r112@197	112@MIST_197	187	0.0	1.0	-26.82	52.52	10.29	[48, 77, 89, 130, 139, 141, 142, 158, 183, 195]		0
113	r113@197	113@MIST_197	225	0.0	-1.0	45.79	5.57	27.81	[5, 35, 59, 69, 80, 87, 101, 162, 170, 175, 180]		0
114	r114@197	114@MIST_197	291	0.7	-0.017	-1.04	-61.97	20.77	[4, 16, 30, 62, 70, 74, 102, 121, 132, 134, 169, 178]		0
115	r115@197	115@MIST_197	343	0.0	-1.0	33.24	25.62	46.82	[69, 76, 78, 86, 95, 96, 97, 125, 175, 188]		0
116	r116@197	116@MIST_197	317	0.63	-0.145	1.61	41.32	-10.38	[1, 18, 32, 48, 94, 139, 141, 156, 183, 195]		0
117	r117@197	117@MIST_197	303	0.0	1.0	-48.61	-20.62	-25.8	[28, 51, 68, 92, 126, 131, 136, 143, 145, 148, 179, 194]		0
118	r118@197	118@MIST_197	276	0.77	0.065	-2.98	-42.03	-48.45	[3, 15, 33, 53, 79, 82, 84, 144, 157, 191]		0
119	r119@197	119@MIST_197	307	0.0	-1.0	39.44	-1.94	-40.15	[28, 45, 109, 126, 128, 145, 146, 168]		0
120	r120@197	120@MIST_197	342	0.62	0.132	-1.83	11.89	53.86	[2, 20, 58, 64, 78, 95, 103, 124, 125, 137, 188]		0
121	r121@197	121@MIST_197	427	0.71	-0.009	0.25	-85.62	26.52	[4, 60, 70, 102, 114, 138, 140, 150, 161, 178]		0
122	r122@197	122@MIST_197	401	0.81	0.1119999999999999	-2.3	-93.24	-14.98	[40, 49, 55, 81, 93, 147, 152, 154, 161, 164, 172, 184]		0
123	r123@197	123@MIST_197	205	0.0	-1.0	58.84	-50.58	0.3	[6, 88, 168, 181, 185]		0
124	r124@197	124@MIST_197	267	0.71	0.045	-1.51	2.24	40.93	[2, 11, 20, 58, 103, 120, 176, 187]		0
125	r125@197	125@MIST_197	243	0.0	-1.0	20.46	31.05	41.72	[2, 22, 58, 76, 78, 86, 95, 96, 115, 120, 133, 139]		0
126	r126@197	126@MIST_197	247	0.69	0.15	-3.52	-9.36	-27.0	[28, 51, 68, 117, 119, 128, 145, 146, 148, 192]		0
127	r127@197	127@MIST_197	318	0.0	1.0	-47.33	-56.98	44.77	[19, 36, 57, 134, 149, 165]		0
128	r128@197	128@MIST_197	202	0.74	-0.089	2.15	2.88	-22.54	[10, 18, 21, 28, 104, 119, 126, 135, 145, 148, 156, 192]		0
129	r129@197	129@MIST_197	271	0.0	-1.0	56.07	-50.39	33.61	[17, 66, 111, 159, 174, 185]		0
130	r130@197	130@MIST_197	275	0.0	0.971	-15.36	63.72	12.63	[48, 77, 89, 94, 112, 133, 139, 141, 158, 195]		0
131	r131@197	131@MIST_197	370	0.65	0.178	-4.26	-41.52	-10.4	[24, 28, 42, 46, 49, 65, 68, 74, 85, 93, 117, 132, 146, 148, 181, 184, 191]		0
132	r132@197	132@MIST_197	324	0.65	0.025	-1.71	-49.05	7.1	[4, 16, 25, 30, 42, 46, 68, 70, 74, 93, 114, 131]		0
133	r133@197	133@MIST_197	394	0.72	-0.1119999999999999	0.78	51.7	27.85	[2, 22, 48, 58, 76, 77, 94, 95, 96, 125, 130, 139]		0
134	r134@197	134@MIST_197	381	0.13	0.743	-23.02	-72.27	31.02	[7, 19, 52, 57, 60, 74, 75, 83, 102, 107, 114, 127, 138, 140, 149, 150, 165, 167, 169, 178]		0
135	r135@197	135@MIST_197	598	0.43	0.421	-11.85	38.01	-16.48	[5, 41, 72, 99, 104, 128, 151, 156, 158, 170, 192, 195, 197]		0
136	r136@197	136@MIST_197	238	0.0	1.0	-57.3	-50.25	-9.0	[24, 65, 117, 143, 148, 167, 194]		0
137	r137@197	137@MIST_197	316	0.0	1.0	-25.37	1.31	57.86	[20, 37, 50, 59, 64, 98, 103, 106, 120, 188, 190]		0
138	r138@197	138@MIST_197	386	0.77	-0.192	2.23	-95.23	14.76	[52, 60, 70, 74, 102, 107, 121, 134, 147, 152, 154, 161]		0
139	r139@197	139@MIST_197	300	0.66	-0.18	1.22	38.86	19.1	[11, 22, 48, 58, 77, 96, 112, 116, 125, 130, 133, 183]		0
140	r140@197	140@MIST_197	316	0.0	-1.0	21.64	-69.96	52.84	[7, 60, 62, 66, 102, 107, 108, 121, 134, 150, 153, 165, 169, 178, 186]		0
141	r141@197	141@MIST_197	329	0.79	0.125	-1.27	60.6	-7.47	[32, 48, 94, 112, 116, 130, 156, 183, 195]		0
142	r142@197	142@MIST_197	280	0.0	1.0	-43.96	34.97	14.31	[50, 72, 89, 99, 110, 112, 158, 171, 197]		0
143	r143@197	143@MIST_197	226	0.0	1.0	-42.61	-55.93	-21.06	[14, 24, 49, 55, 56, 65, 81, 82, 117, 136, 148, 164, 184, 191]		0
144	r144@197	144@MIST_197	325	0.77	0.046	-0.22	-59.52	-51.12	[12, 15, 27, 33, 53, 56, 79, 118, 157, 160, 189]		0
145	r145@197	145@MIST_197	280	0.81	0.129	-5.22	12.35	-39.7	[45, 51, 92, 117, 119, 126, 128, 179, 192]		0
146	r146@197	146@MIST_197	207	0.0	-1.0	43.64	-24.41	-23.74	[24, 45, 68, 109, 119, 126, 131, 148, 168, 181]		0
147	r147@197	147@MIST_197	380	0.75	-0.074	1.88	-96.07	-2.05	[52, 107, 122, 138, 152, 154, 164, 172, 184]		0
148	r148@197	148@MIST_197	286	0.71	0.126	-4.73	-31.33	-24.22	[24, 28, 65, 68, 81, 82, 85, 117, 126, 128, 131, 136, 143, 146, 164, 172, 181, 191]		0
149	r149@197	149@MIST_197	245	0.0	1.0	-30.31	-68.74	51.24	[7, 19, 57, 127, 134, 153, 165, 178, 186]		0
150	r150@197	150@MIST_197	202	0.0	-1.0	30.49	-68.35	39.14	[7, 17, 60, 62, 66, 75, 102, 107, 111, 121, 134, 140, 165, 169, 178]		0
151	r151@197	151@MIST_197	246	0.0	-1.0	34.38	51.2	-8.49	[41, 63, 97, 135, 156, 170, 195]		0
152	r152@197	152@MIST_197	305	0.39	-0.331	11.58	-87.98	2.92	[52, 60, 67, 85, 107, 122, 138, 147, 154, 164, 172, 184]		0
153	r153@197	153@MIST_197	311	0.73	-0.023	-0.03	-56.87	66.36	[13, 71, 105, 108, 140, 149, 155, 165, 178, 186]		0
154	r154@197	154@MIST_197	421	0.79	-0.017	-0.73	-93.73	-2.14	[46, 52, 70, 74, 93, 122, 138, 147, 152, 161, 172, 184]		0
155	r155@197	155@MIST_197	366	0.74	0.178	-1.84	-39.94	51.98	[13, 25, 62, 71, 73, 98, 105, 108, 153, 163, 165, 176, 186, 187]		0
156	r156@197	156@MIST_197	493	0.56	-0.314	7.29	32.63	-18.7	[1, 10, 18, 32, 104, 116, 128, 135, 141, 151, 183, 192, 195, 197]		0
157	r157@197	157@MIST_197	396	0.54	0.048	-2.21	-63.02	-56.42	[15, 27, 33, 40, 53, 56, 79, 118, 144, 160, 189]		0
158	r158@197	158@MIST_197	273	0.0	1.0	-38.34	52.64	3.24	[72, 89, 112, 130, 135, 142, 195]		0
159	r159@197	159@MIST_197	332	0.0	-1.0	56.62	-35.97	35.28	[17, 35, 66, 129, 166, 174, 177, 185, 193]		0
160	r160@197	160@MIST_197	352	0.0	0.997	-17.23	-79.79	-33.77	[14, 27, 40, 47, 49, 55, 56, 81, 144, 157, 189]		0
161	r161@197	161@MIST_197	280	0.66	0.243	-2.12	-88.19	5.3	[60, 70, 74, 93, 121, 122, 138, 154]		0
162	r162@197	162@MIST_197	318	0.51	0.088	-2.75	-4.75	11.73	[21, 29, 35, 38, 54, 87, 91, 110, 113, 166, 171, 174, 180, 193, 197]		0
163	r163@197	163@MIST_197	344	0.0	1.0	-46.72	-22.27	51.83	[31, 37, 39, 50, 57, 59, 71, 80, 90, 98, 101, 106, 155, 165, 171, 180, 186, 193]		0
164	r164@197	164@MIST_197	332	0.27	-0.036	0.44	-74.32	-12.54	[24, 49, 52, 55, 65, 67, 81, 82, 85, 122, 143, 147, 148, 152, 172, 181, 184]		0
165	r165@197	165@MIST_197	335	0.65	0.051	-0.79	-54.7	50.87	[57, 62, 66, 73, 90, 108, 127, 134, 140, 149, 150, 153, 155, 163, 169, 177, 178, 186]		0
166	r166@197	166@MIST_197	422	0.44	-0.332	20.09	-2.7	-2.1	[23, 35, 38, 45, 87, 91, 99, 109, 110, 159, 162, 170, 173, 174, 179, 180, 192, 193, 197]		0
167	r167@197	167@MIST_197	218	0.0	1.0	-49.54	-66.23	8.35	[7, 52, 65, 75, 83, 107, 134, 136, 194]		0
168	r168@197	168@MIST_197	389	0.0	-1.0	60.62	-22.32	-19.84	[45, 88, 109, 119, 123, 146, 173, 181]		0
169	r169@197	169@MIST_197	291	0.62	0.017	-0.7	-64.76	37.59	[4, 16, 62, 108, 114, 134, 140, 150, 165, 178]		0
170	r170@197	170@MIST_197	394	0.0	-1.0	51.5	25.86	1.56	[5, 23, 41, 69, 87, 101, 104, 113, 135, 151, 166, 180, 192, 197]		0
171	r171@197	171@MIST_197	422	0.0	1.0	-46.3	10.67	26.54	[37, 50, 59, 89, 101, 110, 142, 162, 163, 180, 197]		0
172	r172@197	172@MIST_197	246	0.0	-1.0	34.41	-71.74	-22.23	[12, 49, 55, 61, 79, 82, 93, 122, 147, 148, 152, 154, 164, 181, 184]		0
173	r173@197	173@MIST_197	312	0.42	0.231	-13.8	-17.01	0.75	[29, 38, 88, 91, 109, 166, 168, 174, 179, 192, 194, 196]		0
174	r174@197	174@MIST_197	425	0.0	-1.0	50.59	-31.77	12.25	[35, 38, 54, 88, 91, 129, 159, 162, 166, 173, 185, 193]		0
175	r175@197	175@MIST_197	368	0.0	-1.0	43.39	12.43	41.79	[59, 69, 78, 80, 86, 97, 101, 113, 115, 188, 190]		0
176	r176@197	176@MIST_197	322	0.82	-0.031	0.23	-26.03	46.71	[20, 25, 62, 73, 98, 105, 108, 124, 155, 187]		0
177	r177@197	177@MIST_197	333	0.0	-1.0	43.9	-31.11	46.98	[59, 66, 73, 80, 101, 159, 165, 182, 193]		0
178	r178@197	178@MIST_197	495	0.44	0.408	-5.59	-72.16	44.81	[4, 16, 60, 62, 102, 108, 114, 121, 134, 140, 149, 150, 153, 165, 169, 186]		0
179	r179@197	179@MIST_197	412	0.0	1.0	-55.92	-9.96	-16.2	[51, 91, 92, 117, 145, 166, 173, 192, 194, 196]		0
180	r180@197	180@MIST_197	460	0.67	0.243	-14.9	-4.44	21.97	[35, 38, 87, 101, 110, 113, 162, 163, 166, 170, 171, 193, 196]		0
181	r181@197	181@MIST_197	408	0.0	-1.0	53.83	-52.24	-13.12	[6, 67, 82, 85, 88, 123, 131, 146, 148, 164, 168, 172]		0
182	r182@197	182@MIST_197	410	0.0	-1.0	37.27	-20.68	59.74	[59, 73, 80, 98, 101, 106, 177, 188, 190]		0
183	r183@197	183@MIST_197	344	0.6	0.192	-2.44	40.26	0.89	[11, 18, 48, 112, 116, 139, 141, 156, 195]		0
184	r184@197	184@MIST_197	451	0.43	0.499	-14.79	-75.32	-11.24	[24, 46, 49, 52, 55, 65, 67, 70, 74, 81, 85, 93, 122, 131, 143, 147, 152, 154, 164, 172, 191]		0
185	r185@197	185@MIST_197	298	0.0	-1.0	53.82	-53.25	17.68	[6, 75, 88, 111, 123, 129, 159, 174]		0
186	r186@197	186@MIST_197	580	0.61	0.131	-5.14	-51.71	63.75	[13, 57, 66, 71, 73, 90, 98, 108, 140, 149, 153, 155, 163, 165, 178]		0
187	r187@197	187@MIST_197	311	0.69	0.006	0.41	-12.43	35.46	[2, 11, 20, 25, 62, 105, 124, 155, 176]		0
