roi	label	name	size	symmetry	laterality	x	y	z	neighbour	parent	overlap
1	r1@197	1@MIST_197	139	0.56	-0.367	3.95	20.63	-1.68	[10, 18, 34, 54, 100, 116, 156]		0
2	r2@197	2@MIST_197	170	0.64	0.076	0.09	17.41	35.34	[11, 58, 120, 124, 125, 133, 187]		0
3	r3@197	3@MIST_197	176	0.77	-0.034	-0.1	-48.01	-37.03	[14, 15, 27, 33, 42, 84, 118, 191]		0
4	r4@197	4@MIST_197	138	0.62	0.065	-0.91	-57.5	17.57	[16, 30, 42, 62, 70, 74, 114, 121, 132, 169, 178]		0
5	r5@197	5@MIST_197	158	0.0	-1.0	36.7	23.11	10.57	[10, 34, 41, 54, 69, 87, 96, 97, 113, 135, 170, 197]		0
6	r6@197	6@MIST_197	143	0.0	-1.0	49.59	-63.73	5.93	[67, 75, 123, 181, 185]		0
7	r7@197	7@MIST_197	166	0.65	0.024	-1.52	-77.54	34.04	[19, 75, 83, 107, 111, 134, 140, 149, 150, 167]		0
8	r8@197	8@MIST_197	148	0.42	-0.392	5.53	-13.55	-0.54	[9, 10, 21, 26, 28, 43, 54]		0
9	r9@197	9@MIST_197	244	0.57	-0.221	3.12	-13.96	5.72	[8, 10, 26, 43]		0
10	r10@197	10@MIST_197	415	0.7	-0.065	1.23	6.63	-2.38	[1, 5, 8, 9, 18, 21, 23, 28, 34, 54, 87, 91, 100, 104, 128, 156, 197]		0
11	r11@197	11@MIST_197	234	0.87	0.073	-0.56	23.13	23.5	[2, 58, 124, 139, 183, 187]		0
12	r12@197	12@MIST_197	232	0.0	-1.0	28.23	-80.05	-37.16	[40, 55, 61, 79, 144, 172, 189]		0
13	r13@197	13@MIST_197	206	0.76	-0.136	0.57	-25.7	73.98	[71, 98, 103, 105, 106, 153, 155, 186, 188, 190]		0
14	r14@197	14@MIST_197	217	0.61	0.244	-4.53	-62.16	-26.54	[3, 27, 40, 49, 56, 61, 81, 82, 143, 160, 191]		0
15	r15@197	15@MIST_197	246	0.6	0.2319999999999999	-2.28	-54.74	-56.99	[3, 27, 33, 118, 144, 157]		0
16	r16@197	16@MIST_197	199	0.74	-0.01	0.18	-58.26	29.58	[4, 30, 62, 70, 74, 108, 114, 132, 169, 178]		0
17	r17@197	17@MIST_197	151	0.0	-1.0	47.15	-57.21	47.19	[66, 111, 129, 150, 159]		0
18	r18@197	18@MIST_197	204	0.76	0.049	-0.79	12.99	-9.19	[1, 10, 32, 100, 116, 128, 156, 183]		0
19	r19@197	19@MIST_197	206	0.0	1.0	-48.23	-65.34	33.46	[7, 36, 83, 127, 134, 149]		0
20	r20@197	20@MIST_197	229	0.63	0.218	-2.95	-12.06	52.55	[78, 98, 103, 105, 106, 120, 124, 137, 176, 187, 188, 190]		0
