Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF
1	1	Middle frontal gyrus lateral LH	ContA	ContB	0.487993454017559	0.20997956098667026	0.07420099987881228
2	2	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.19661199460737636	0.11734940028373388	0.013327522847521502
3	2	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.28683312971664926	0.14837433380246356	0.02296624672396246
4	3	Superior occipital gyrus	VisCent	VisCent	0.21634555882547013	0.14941821773002648	0.02932893145578449
5	3	Superior occipital gyrus	VisCent	VisCent	0.22957908984470243	0.1039498596981793	0.03562818992807653
6	4	Frontal pole lateral RH	ContA	ContB	0.4798162798545563	0.12991189888124027	0.06719928646265147
7	5	Superior precentral and postcentral sulci anterior	SomMotA	SomMotA	0.08872996219067854	0.06309631365809544	0.028355005094679055
8	5	Superior precentral and postcentral sulci anterior	SomMotA	SomMotA	0.11539516557594391	0.13475851877274486	0.023709558572075462
9	6	Posterior cingulate cortex antero-inferior	ContA	ContC	0.48691422143479374	0.2180451802997524	0.06413764556254843
10	7	Intraparietal sulcus posterior LH	ContA	ContA	0.47766823849916007	0.27617050840789276	0.10577948685805494
11	8	Parieto-occipital sulcus central	VisCent	VisPeri	0.5889480503533766	0.16604787117173037	0.09905658923469766
12	9	Superior frontal sulcus	DefaultB	DefaultA	0.1648478792522707	0.06941894362015857	0.017619725898168227
13	9	Superior frontal sulcus	DefaultB	DefaultA	0.3962333556601559	0.17135761039373626	0.05156741869650948
14	10	Ventromedial prefrontal cortex	DefaultB	DefaultA	0.5688523022308816	0.19858561922555915	0.07429364383878334
15	11	Cerebellum Crus I posterior	No network found	No network found	0.6466086778702105	0.03763809920940126	0.1287475237448775
16	12	Lingual gyrus posterior	VisCent	VisPeri	0.498565848258804	0.25577337491880703	0.03323209335679432
17	13	Lateral occipital cortex superior	VisCent	DorsAttnA	0.1371044967917116	0.043980448350257974	0.02350320049109798
18	13	Lateral occipital cortex superior	VisCent	DorsAttnA	0.3538381483118588	0.2013720947461373	0.03005711126757887
19	14	Lateral frontal pole	ContA	ContB	0.3553709481170582	0.14454825307968822	0.04323545262877064
20	14	Lateral frontal pole	ContA	ContB	0.22578939849787724	0.07482302506778515	0.03006026299199317
21	15	Precentral gyrus inferior	SomMotA	SomMotB	0.24185108156544313	0.10260508968498834	0.035233229250707536
22	15	Precentral gyrus inferior	SomMotA	SomMotB	0.2602932004610782	0.09845734337048649	0.04493497877184798
23	16	Precuneus superior	DorsAttnB	DorsAttnB	0.4637258859214066	0.047040837629887686	0.22276428551733224
24	17	Parieto-occipital sulcus postero-superior	VisCent	VisPeri	0.17914717580872236	0.1461972565856673	0.033079927428685076
25	17	Parieto-occipital sulcus postero-superior	VisCent	VisPeri	0.26962494343943466	0.17368949731151198	0.06033923183544614
26	18	Postcentral gyrus RH	SomMotA	SomMotA	0.3535138419695546	0.2642713870609251	0.08273607122335223
27	19	Cingulate cortex mid-anterior	SalVentAttnA	SalVentAttnB	0.6690675627786545	0.08236663881053041	0.1371318504609144
28	20	Cerebrospinal fluid (superior of Central sulcus)	SomMotA	SomMotA	0.1134677643903933	0.025199768904532124	0.04703767496993398
29	20	Cerebrospinal fluid (superior of Central sulcus)	SomMotA	SomMotA	0.19874356204074553	0.05271576708754697	0.0756208291187626
30	21	Angular gyrus superior RH	ContA	ContB	0.45268455027535853	0.2460025060184938	0.054552532369237204
31	22	Cerebellum Crus I anterior	No network found	No network found	0.4010951542502893	0.07265157735652056	0.014631942286657032
32	22	Cerebellum Crus I anterior	No network found	No network found	0.16463496594148072	0.03216220639741839	0.005877681771695172
33	23	Superior temporal gyrus middle	SomMotA	SomMotB	0.29592554852598146	0.0467114763265151	0.06353358758355021
34	23	Superior temporal gyrus middle	SomMotA	SomMotB	0.3351529392425994	0.02695175830281367	0.08639230405361097
35	24	Angular gyrus posterior	DefaultB	DefaultC	0.18143949132364534	0.04949157316381391	0.04037826108799136
36	24	Angular gyrus posterior	DefaultB	DefaultC	0.3959629234109725	0.11387543193900905	0.04410008861709709
37	25	Lateral occipital cortex inferior	VisCent	DorsAttnA	0.24564616385388754	0.09937632374567103	0.028124043004923497
38	25	Lateral occipital cortex inferior	VisCent	DorsAttnA	0.3320911467105571	0.13895811741830744	0.02652519230707959
39	26	Middle temporal gyrus RH	DefaultB	DefaultB	0.040875785084865696	0.0055954391513884875	0.004047116511986055
40	26	Middle temporal gyrus RH	DefaultB	DefaultB	0.5813392507176216	0.186529351835921	0.05878438024885044
41	27	Cerebellum VI anterior	No network found	No network found	0.5177336632487447	0.2731986308829686	0.005460287263289433
