Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF
58	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.20371095919375803	0.11991224417163047	0.0577697641637296
59	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.14055677708983605	0.07844823693835315	0.039684763881180946
60	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.09243991927034423	0.04582811349610998	0.030547225396276745
61	34	Precentral gyrus medial	SomMotA	SomMotA	0.5795457204457422	0.09754666815636401	0.15966310066577885
62	35	Lingual gyrus anterior	VisCent	VisPeri	0.26136461152807267	0.0527414737482736	0.05030020443493699
63	35	Lingual gyrus anterior	VisCent	VisPeri	0.271427965485939	0.051211259166765465	0.046739626840264316
64	36	Angular gyrus superior	DefaultB	ContB	0.0940406329637634	0.029397552816550616	0.014842336702040439
65	36	Angular gyrus superior	DefaultB	ContB	0.4086487501049782	0.17747200326442458	0.04671028183028343
66	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.23414050209907097	0.06604075009021448	0.03392693943180959
67	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.2731009995671044	0.09802504279634411	0.03595563575412377
68	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.01672128214975521	0.0014526824976610372	0.0030526681793181607
69	38	Intraparietal sulcus LH	DorsAttnB	ContA	0.21441614503516582	0.053262010136327954	0.029453668090848446
70	38	Intraparietal sulcus LH	DorsAttnB	ContA	0.3073866880840651	0.16483680535496822	0.05043028901923432
71	39	Dorsomedial prefrontal cortex antero-superior	DefaultB	DefaultB	0.5422540250436596	0.08403653096257407	0.1489680410558786
72	40	Precentral gyrus superior	DorsAttnB	DorsAttnB	0.2674654023934915	0.0797654799470468	0.04912186772221429
73	40	Precentral gyrus superior	DorsAttnB	DorsAttnB	0.26901899154774617	0.07825245040153576	0.04972983523377619
74	41	Postcentral gyrus inferior	SomMotA	SomMotB	0.21318315399783752	0.13309952462890245	0.029193418883457726
75	41	Postcentral gyrus inferior	SomMotA	SomMotB	0.2861286933859123	0.13410432540221898	0.04224092913353213
76	42	Lateral occipital cortex	VisCent	DorsAttnA	0.23056985679683176	0.07091555293289252	0.026282254234461202
77	42	Lateral occipital cortex	VisCent	DorsAttnA	0.36556041939590694	0.15580139305524687	0.02941527920197716
78	43	Callosomarginal sulcus	SalVentAttnA	SalVentAttnA	0.25203630416823825	0.06129523220541972	0.045135869800179425
79	43	Callosomarginal sulcus	SalVentAttnA	SalVentAttnA	0.33242295194347	0.04324029050157153	0.09795512320957185
80	44	Paracentral lobule superior	SomMotA	SomMotA	0.3439780112241381	0.08788610510101197	0.13851322269731825
81	45	Heschl’s gyrus	SomMotA	SomMotB	0.3361497735750019	0.05578272415282993	0.0440160888614314
82	45	Heschl’s gyrus	SomMotA	SomMotB	0.3179176545385874	0.05286542085589877	0.041333596256861914
83	46	Occipital pole	VisCent	VisCent	0.23927490758905237	0.17995395877758832	0.028179938820958053
84	46	Occipital pole	VisCent	VisCent	0.19557665226863716	0.16054028985861868	0.013398722409519255
85	47	Thalamus	No network found	No network found	0.5242798997336278	0.33515758702377824	0.0011149667451913398
86	48	Intraparietal sulcus RH	ContA	ContA	0.5107414699977609	0.23519180643634266	0.09716631952003613
87	49	Inferior frontal sulcus	ContA	ContA	0.037593366541218615	0.00857050758504528	0.003766819933565444
88	49	Inferior frontal sulcus	ContA	ContA	0.524360623152827	0.12660495920233217	0.08671746202773677
89	50	Postcentral gyrus LH	SomMotA	DorsAttnB	0.4418135612067871	0.20697097817609883	0.1120249664866818
90	51	Middle frontal gyrus	ContA	ContB	0.04151892311451459	0.006238270048955458	0.005045000286659077
91	51	Middle frontal gyrus	ContA	ContB	0.4792292272558392	0.0993646163423538	0.0927832910653226
92	52	Inferior frontal gyrus	ContA	ContA	0.22661340824285195	0.04942330897586721	0.04952254831117917
93	52	Inferior frontal gyrus	ContA	ContA	0.28493426132265925	0.06695828737443996	0.04263243296174198
94	53	Parieto-occipital sulcus anterior	DefaultB	DefaultC	0.3400863058111104	0.03795210450579395	0.05485726141208203
95	53	Parieto-occipital sulcus anterior	DefaultB	DefaultC	0.23976466794430662	0.0796821838984581	0.01707672209263859
96	54	Precuneus anterior	DorsAttnB	ContC	0.5542806470493118	0.10453418901793327	0.16241317274492714
97	55	Lingual gyrus	VisCent	VisCent	0.28348398622789	0.08709102869425507	0.021148244585809238
98	55	Lingual gyrus	VisCent	VisCent	0.3403241511288557	0.08935571713389436	0.028754259360213225
99	56	Superior occipital sulcus	DorsAttnB	DorsAttnA	0.24730574858467652	0.13593360383623757	0.03781627601111805
100	56	Superior occipital sulcus	DorsAttnB	DorsAttnA	0.2542419469133912	0.17110234640237168	0.03776938955360694
101	57	Superior parietal lobule	DorsAttnB	DorsAttnA	0.16643563251807503	0.033874666448734714	0.06290059592833946
102	57	Superior parietal lobule	DorsAttnB	DorsAttnA	0.23268156420559	0.04679732976676938	0.08595954249943359
103	58	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.25759313731549804	0.0942102959952276	0.027756134758933355
104	58	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.29973210388933635	0.10387198905052387	0.03515962985668332
105	59	Angular gyrus inferior	DefaultB	DefaultA	0.44245046239140473	0.12691111881326364	0.061152658724959556
106	59	Angular gyrus inferior	DefaultB	DefaultA	0.09819758497634064	0.019836846582557837	0.012441393376329034
107	60	Cuneus	VisCent	VisPeri	0.533677192770568	0.2356500118718043	0.08956832575467848
108	61	Middle temporal gyrus	DefaultB	DefaultB	0.3579436861577981	0.07856637142589858	0.03458697083170199
109	61	Middle temporal gyrus	DefaultB	DefaultB	0.19921931126022513	0.034371522900547014	0.043859164433122884
110	62	Superior frontal gyrus	DefaultB	DefaultB	0.0919500469774756	0.017269983435539083	0.0190196211404666
111	62	Superior frontal gyrus	DefaultB	DefaultB	0.4801499448142454	0.04116575987094458	0.17197555500998293
112	63	Central sulcus	SomMotA	SomMotB	0.2881993579781808	0.16427369369544248	0.05720280439176338
113	63	Central sulcus	SomMotA	SomMotB	0.2272809718355776	0.11042659206776577	0.03944463465162713
114	64	Caudate	No network found	No network found	0.26629013234201204	0.12082256426145768	0.011336969665775187
