Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF
1	1	Middle frontal gyrus anterior LH	SalVentAttnA	SalVentAttnB	0.4676086858415043	0.29265578563221467	0.033478467573924496
2	2	Middle frontal gyrus anterior RH	ContA	SalVentAttnB	0.5325682640474887	0.2040021421351208	0.05849952150288447
3	3	Cerebrospinal fluid (between superior parietal lobule and skull)	DorsAttnB	DorsAttnB	0.1378820916603697	0.02169279515753032	0.05834457457791719
4	3	Cerebrospinal fluid (between superior parietal lobule and skull)	DorsAttnB	DorsAttnB	0.1558123814112691	0.02671381346471595	0.06666315848684619
5	4	Inferior frontal sulcus posterior RH	ContA	ContA	0.5140047160248071	0.21896436614160605	0.05939934132602491
6	5	Superior longitudinal fasciculus II middle	No network found	No network found	0.07030464170607047	0.24897974899373826	0.02858013588286099
7	5	Superior longitudinal fasciculus II middle	No network found	No network found	0.07736019759182118	0.18400783225546152	0.034641891348646724
8	6	Cuneus anterior	VisCent	VisPeri	0.48691384392836157	0.30173312265401436	0.06843656632800331
9	7	Lateral ventricles anterior horns	No network found	No network found	0.1339356527028543	0.38241039088047213	0.27349460678100146
10	8	Lateral occipital cortex LH	VisCent	VisCent	0.3861700352931849	0.36067356719287985	0.03481720742921814
11	9	Retrocalcarine cortex	VisCent	VisCent	0.4744937364804678	0.19657023322328745	0.10244701207240604
12	10	Collateral sulcus anterior	LimbicA	LimbicA	0.139136514522673	0.22591650170408506	0.009191726395161769
13	10	Collateral sulcus anterior	LimbicA	LimbicA	0.1737509687566189	0.2951095434423817	0.01050278941725319
14	11	Cerebrospinal fluid (between intraparietal sulcus and skull)	DorsAttnB	DorsAttnA	0.10225417101034355	0.012156185921243168	0.04296870789638775
15	11	Cerebrospinal fluid (between intraparietal sulcus and skull)	DorsAttnB	DorsAttnA	0.25325172584161343	0.04161528874893317	0.11527378155168623
16	12	Superior frontal gyrus anterior	DefaultB	DefaultB	0.4106261537391366	0.19320264118659386	0.04094982071859609
17	13	Cingulate cortex mid-anterior	SalVentAttnA	SalVentAttnA	0.6696863229772012	0.05861677932049506	0.15588492774538476
18	14	Cingulate cortex mid-posterior	SalVentAttnA	ContC	0.6915976206928972	0.05343753128741376	0.16497526767671455
19	15	Posterior cingulate cortex posterior	DefaultB	DefaultA	0.5478116144552149	0.11624958327444085	0.078722229094209
20	16	Pars opercularis pars triangularis LH	DefaultB	DefaultB	0.4992289798904427	0.13754912363266894	0.07675582954745436
21	17	Medial frontal cortex posterior	SalVentAttnA	SalVentAttnA	0.5176511052893876	0.06803339445771137	0.18654876556571154
22	18	Cerebrospinal fluid (between precuneus and skull)	DorsAttnB	DorsAttnA	0.4129410154355648	0.0593841224012955	0.14936868177810889
23	19	Dorsal visual stream superior	DorsAttnB	DorsAttnB	0.08349443025018403	0.33136063789484854	0.004834749066392814
24	19	Dorsal visual stream superior	DorsAttnB	DorsAttnB	0.06304919487324354	0.24669679394004213	0.002614943684386927
25	20	Frontal operculum LH	SalVentAttnA	SalVentAttnA	0.6240053253193414	0.085038108596222	0.09717704021723036
26	21	Amygdala	No network found	No network found	0.3597276636511135	0.01692841683010298	0.02641399021209552
27	21	Amygdala	No network found	No network found	0.4654207529403044	0.02291415860329376	0.03570867520945264
28	22	Supramarginal gyrus LH	SalVentAttnA	SalVentAttnB	0.5961968867439137	0.1829944108204159	0.09501907128540864
29	23	Postcentral gyrus LH	SomMotA	SomMotA	0.294170790461098	0.3648275147418316	0.04963349409785943
30	24	Parieto-occipital sulcus middle	ContA	ContC	0.3093141115613657	0.0812215703991947	0.06389616175164253
31	24	Parieto-occipital sulcus middle	ContA	ContC	0.24164457138553244	0.16206537435943888	0.03495887656539953
32	25	Occipital pole inferior	VisCent	VisCent	0.2715747659247012	0.15337592769420982	0.029609861164670424
33	25	Occipital pole inferior	VisCent	VisCent	0.19997220109324199	0.15274771990402056	0.010073409075908061
34	26	Superior temporal gyrus LH	SomMotA	SomMotB	0.5124002644789408	0.2694859229223926	0.06384184581993604
35	27	Intraparietal sulcus anterior	DorsAttnB	ContA	0.43745935623510634	0.19161523637466762	0.11974898217683161
36	27	Intraparietal sulcus anterior	DorsAttnB	ContA	0.0212422129121604	0.005195867856413042	0.007150882518388965
