subject_id,partially_nan_rois
sub-pixar132,168
sub-pixar132,168
sub-pixar132,168
sub-pixar132,168
sub-pixar132,168
sub-pixar132,168
sub-pixar145,168
sub-pixar145,168
sub-pixar145,168
sub-pixar145,168
sub-pixar145,168
sub-pixar145,168
sub-pixar042,168
sub-pixar042,168
sub-pixar042,168
sub-pixar042,168
sub-pixar042,168
sub-pixar042,168
sub-pixar035,168
sub-pixar035,168
sub-pixar035,168
sub-pixar035,168
sub-pixar035,168
sub-pixar035,168
sub-pixar138,168
sub-pixar138,168
sub-pixar138,168
sub-pixar138,168
sub-pixar138,168
sub-pixar138,168
sub-pixar142,168
sub-pixar142,168
sub-pixar142,168
sub-pixar142,168
sub-pixar142,168
sub-pixar142,168
sub-pixar135,168
sub-pixar135,168
sub-pixar135,168
sub-pixar135,168
sub-pixar135,168
sub-pixar135,168
sub-pixar038,168
sub-pixar038,168
sub-pixar038,168
sub-pixar038,168
sub-pixar038,168
sub-pixar038,168
sub-pixar148,168
sub-pixar148,168
sub-pixar148,168
sub-pixar148,168
sub-pixar148,168
sub-pixar148,168
sub-pixar032,168
sub-pixar032,168
sub-pixar032,168
sub-pixar032,168
sub-pixar032,168
sub-pixar032,168
sub-pixar045,168
sub-pixar045,168
sub-pixar045,168
sub-pixar045,168
sub-pixar045,168
sub-pixar045,168
sub-pixar107,168
sub-pixar107,168
sub-pixar107,168
sub-pixar107,168
sub-pixar107,168
sub-pixar107,168
sub-pixar093,168
sub-pixar093,168
sub-pixar093,168
sub-pixar093,168
sub-pixar093,168
sub-pixar093,168
sub-pixar099,168
sub-pixar099,168
sub-pixar099,168
sub-pixar099,168
sub-pixar099,168
sub-pixar099,168
sub-pixar077,168
sub-pixar077,168
sub-pixar077,168
sub-pixar077,168
sub-pixar077,168
sub-pixar077,168
sub-pixar021,168
sub-pixar021,168
sub-pixar021,168
sub-pixar021,168
sub-pixar021,168
sub-pixar021,168
sub-pixar056,168
sub-pixar056,168
sub-pixar056,168
sub-pixar056,168
sub-pixar056,168
sub-pixar056,168
sub-pixar151,168
sub-pixar151,168
sub-pixar151,168
sub-pixar151,168
sub-pixar151,168
sub-pixar151,168
sub-pixar126,168
sub-pixar126,168
sub-pixar126,168
sub-pixar126,168
sub-pixar126,168
sub-pixar126,168
