subject_id,fully_nan_rois
sub-pixar132,0
sub-pixar132,0
sub-pixar132,0
sub-pixar132,0
sub-pixar132,0
sub-pixar132,0
sub-pixar145,0
sub-pixar145,0
sub-pixar145,0
sub-pixar145,0
sub-pixar145,0
sub-pixar145,0
sub-pixar042,0
sub-pixar042,0
sub-pixar042,0
sub-pixar042,0
sub-pixar042,0
sub-pixar042,0
sub-pixar035,0
sub-pixar035,0
sub-pixar035,0
sub-pixar035,0
sub-pixar035,0
sub-pixar035,0
sub-pixar138,0
sub-pixar138,0
sub-pixar138,0
sub-pixar138,0
sub-pixar138,0
sub-pixar138,0
sub-pixar142,0
sub-pixar142,0
sub-pixar142,0
sub-pixar142,0
sub-pixar142,0
sub-pixar142,0
sub-pixar135,0
sub-pixar135,0
sub-pixar135,0
sub-pixar135,0
sub-pixar135,0
sub-pixar135,0
sub-pixar038,0
sub-pixar038,0
sub-pixar038,0
sub-pixar038,0
sub-pixar038,0
sub-pixar038,0
sub-pixar148,0
sub-pixar148,0
sub-pixar148,0
sub-pixar148,0
sub-pixar148,0
sub-pixar148,0
sub-pixar032,0
sub-pixar032,0
sub-pixar032,0
sub-pixar032,0
sub-pixar032,0
sub-pixar032,0
sub-pixar045,0
sub-pixar045,0
sub-pixar045,0
sub-pixar045,0
sub-pixar045,0
sub-pixar045,0
sub-pixar107,0
sub-pixar107,0
sub-pixar107,0
sub-pixar107,0
sub-pixar107,0
sub-pixar107,0
sub-pixar093,0
sub-pixar093,0
sub-pixar093,0
sub-pixar093,0
sub-pixar093,0
sub-pixar093,0
sub-pixar099,0
sub-pixar099,0
sub-pixar099,0
sub-pixar099,0
sub-pixar099,0
sub-pixar099,0
sub-pixar077,0
sub-pixar077,0
sub-pixar077,0
sub-pixar077,0
sub-pixar077,0
sub-pixar077,0
sub-pixar021,0
sub-pixar021,0
sub-pixar021,0
sub-pixar021,0
sub-pixar021,0
sub-pixar021,0
sub-pixar056,0
sub-pixar056,0
sub-pixar056,0
sub-pixar056,0
sub-pixar056,0
sub-pixar056,0
sub-pixar151,0
sub-pixar151,0
sub-pixar151,0
sub-pixar151,0
sub-pixar151,0
sub-pixar151,0
sub-pixar126,0
sub-pixar126,0
sub-pixar126,0
sub-pixar126,0
sub-pixar126,0
sub-pixar126,0
sub-pixar064,0
sub-pixar064,0
sub-pixar064,0
sub-pixar064,0
sub-pixar064,0
sub-pixar064,0
sub-pixar013,0
sub-pixar013,0
sub-pixar013,0
sub-pixar013,0
sub-pixar013,0
sub-pixar013,0
sub-pixar019,0
sub-pixar019,0
sub-pixar019,0
sub-pixar019,0
sub-pixar019,0
sub-pixar019,0
sub-pixar114,0
sub-pixar114,0
sub-pixar114,0
sub-pixar114,0
sub-pixar114,0
sub-pixar114,0
sub-pixar080,0
sub-pixar080,0
sub-pixar080,0
sub-pixar080,0
sub-pixar080,0
sub-pixar080,0
sub-pixar023,0
sub-pixar023,0
sub-pixar023,0
sub-pixar023,0
sub-pixar023,0
sub-pixar023,0
sub-pixar054,0
sub-pixar054,0
sub-pixar054,0
sub-pixar054,0
sub-pixar054,0
sub-pixar054,0
sub-pixar029,0
sub-pixar029,0
sub-pixar029,0
sub-pixar029,0
sub-pixar029,0
sub-pixar029,0
