	Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF	x	y	z
0	1	1	Middle frontal gyrus lateral LH	ContA	ContB	0.487993454017559	0.2099795609866702	0.0742009998788122	-46.315588637148906	25.666057200655047	37.13211897890302
1	2	2	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.1966119946073763	0.1173494002837338	0.0133275228475215	-31.738398016864295	39.26148533213836	28.244307035065106
2	3	2	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.2868331297166492	0.1483743338024635	0.0229662467239624	32.327384334368276	44.25511081691326	25.64679306993054
3	4	3	Superior occipital gyrus	VisCent	VisCent	0.2163455588254701	0.1494182177300264	0.0293289314557844	-26.37107851306409	-86.34556446804132	21.545586925368127
4	5	3	Superior occipital gyrus	VisCent	VisCent	0.2295790898447024	0.1039498596981793	0.0356281899280765	28.567482434136792	-83.95855331804204	21.75642834969642
5	6	4	Frontal pole lateral RH	ContA	ContB	0.4798162798545563	0.1299118988812402	0.0671992864626514	41.94597085966285	54.82674776074515	1.4314402118029506
6	7	5	Superior precentral and postcentral sulci anterior	SomMotA	SomMotA	0.0887299621906785	0.0630963136580954	0.028355005094679	-26.145465497404842	-36.46315306849151	66.56247476159703
7	8	5	Superior precentral and postcentral sulci anterior	SomMotA	SomMotA	0.1153951655759439	0.1347585187727448	0.0237095585720754	27.94709001439189	-36.04182142813386	66.51378577452303
8	9	6	Posterior cingulate cortex antero-inferior	ContA	ContC	0.4869142214347937	0.2180451802997524	0.0641376455625484	0.3174346839176394	-29.863983747849247	27.94913870916247
9	10	7	Intraparietal sulcus posterior LH	ContA	ContA	0.47766823849916	0.2761705084078927	0.1057794868580549	-35.90500175561759	-64.92728775628294	48.69488183606104
10	11	8	Parieto-occipital sulcus central	VisCent	VisPeri	0.5889480503533766	0.1660478711717303	0.0990565892346976	1.7240950445322483	-68.04702388943889	22.083709772131442
11	12	9	Superior frontal sulcus	DefaultB	DefaultA	0.1648478792522707	0.0694189436201585	0.0176197258981682	-24.218159637654054	30.950219041738364	40.13976895105509
