	Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF	x	y	z
0	1	1	Superior frontal sulcus	DefaultB	DefaultA	0.316142093040419	0.0885922585510376	0.0518583038736212	-25.596971099340948	27.737047555001112	47.195019429148715
1	2	1	Superior frontal sulcus	DefaultB	DefaultA	0.2677062642064884	0.0681583305435551	0.0448506649385803	26.12547359849775	28.414178679099678	48.40129474358362
2	3	2	Fusiform gyrus	No network found	No network found	0.3847518828865089	0.0109533194669924	0.0643686639690867	-21.675377436249377	-63.80928776322159	-18.362572278297016
3	4	2	Fusiform gyrus	No network found	No network found	0.3568956838184074	0.009643387575177	0.0541329913359595	20.733782814028118	-63.205112859974605	-17.984939983199588
4	5	3	Calcarine cortex posterior	VisCent	VisPeri	0.4456642048421481	0.2280481742241753	0.0700660489810915	0.8450085140616892	-89.81111061162187	0.7672744726839369
5	6	4	Cingulate cortex posterior	DefaultB	DefaultA	0.5740635347051055	0.1110194991310557	0.0934683458734079	-0.6726008175134695	-55.097396898875374	27.404449577262085
6	7	5	Parieto-occipital sulcus superior	ContA	ContC	0.1494510544652172	0.0436934888309097	0.0202708068946141	0.7097466119893596	-31.603148920828076	27.351588627309752
7	8	5	Parieto-occipital sulcus superior	ContA	ContC	0.3961552911488426	0.1580308049882971	0.0853245169486779	10.373289467491134	-70.07986244608995	35.706085320678625
8	9	6	Insula antero-superior	SalVentAttnA	SalVentAttnB	0.3074012235139735	0.0211174412241277	0.0503679158989765	-37.55416606184988	19.894163238077482	2.339769812100002
9	10	6	Insula antero-superior	SalVentAttnA	SalVentAttnB	0.3465965424643656	0.0376507239767222	0.0659395012099231	39.063718943911596	22.242955818588115	0.9743689831433215
10	11	7	Superior temporal sulcus with angular gyrus	DefaultB	TempPar	0.0537337375447091	0.0114601460855205	0.0057270477308289	-56.050635295427846	-51.92271540015426	13.356836007274822
11	12	7	Superior temporal sulcus with angular gyrus	DefaultB	TempPar	0.5699360962563583	0.163583060361711	0.0585224100760428	59.02376776521737	-42.6113459951047	10.382439024754532
12	13	8	Planum temporale	SomMotA	SomMotB	0.3048170767541135	0.1276085785212141	0.0540001999686656	-55.62762500280499	-23.499383581612577	10.573319125054383
13	14	8	Planum temporale	SomMotA	SomMotB	0.2799529739014219	0.044779171440033	0.062790736385991	58.92624786360517	-16.3391278589192	9.57898405713695
14	15	9	Cerebellum Crus II	No network found	No network found	0.1961960257463369	0.0342412286769308	0.0046358291420718	-28.749375688987044	-70.33437302275831	-29.136078385174287
15	16	9	Cerebellum Crus II	No network found	No network found	0.1684919153348948	0.0225336710797301	0.0198721435494503	-9.171878169472507	-78.18520946586351	-28.45193979277812
16	17	9	Cerebellum Crus II	No network found	No network found	0.2853098930537873	0.049237254700493	0.0103267810036269	30.18384627039238	-67.67999399348764	-29.70060056352783
17	18	10	Superior parts of Postcentral and Precentral gyri	SomMotA	DorsAttnB	0.191434494701269	0.0349314890659166	0.0893573019867452	-42.38631332746641	-39.94386181533085	66.53706913310717
18	19	10	Superior parts of Postcentral and Precentral gyri	SomMotA	DorsAttnB	0.0451864141667829	0.0098147403136702	0.0198344584829529	33.77196806319648	-6.404686758175686	68.33675764570918
19	20	10	Superior parts of Postcentral and Precentral gyri	SomMotA	DorsAttnB	0.081398098465433	0.0173353195867016	0.0447276788170132	42.96292114532099	-36.747383210502704	65.48126180770757
20	21	11	Transverse sinus	No network found	No network found	0.684294314738961	0.0230092030801735	0.1645702364524487	-19.677151186011372	-79.16150149670565	-21.139362980446258
21	22	12	Paracentral gyrus RH	SomMotA	SomMotA	0.3975066778927856	0.2667669907979069	0.0872717446109613	40.38832655715504	-20.963665627797866	58.01853071311484
22	23	13	Superior occipital gyrus	VisCent	VisPeri	0.3979725099462869	0.2105323524202578	0.0792642071510394	-15.02542738501559	-91.19314266856517	30.256321403299168
23	24	14	Cingulate gyrus mid-posterior	DefaultB	ContC	0.6655297604994324	0.1192948555838539	0.1238319903023823	1.1916513234049262	-57.95072953884129	39.28022178611906
24	25	15	ventricles	No network found	No network found	0.2650233174204675	0.1157377622656498	0.0754976124327132	-11.69323098304362	-3.2287380247736337	16.300682212914808
25	26	15	ventricles	No network found	No network found	0.2436523610545442	0.0806718659724898	0.0896256423474201	11.076139505274156	-2.5897573068014026	16.637088252438346
26	27	16	Fusiform gyrus posterior	VisCent	VisCent	0.3321563905814666	0.0724698962286448	0.0312916459940933	-48.343755545212105	-67.56762947709542	-11.010862642540687
27	28	16	Fusiform gyrus posterior	VisCent	VisCent	0.300499473278045	0.0709857865464554	0.0252530443386515	45.73966253344736	-62.50998807515623	-15.371592495376042
28	29	17	Superior frontal gyrus medial	SalVentAttnA	SalVentAttnA	0.0167968281621021	0.0038185793311743	0.0035986596107058	-44.18416600275326	-0.6829433092505042	58.133697089073905
29	30	17	Superior frontal gyrus medial	SalVentAttnA	SalVentAttnA	0.5128755710662237	0.0608228626373965	0.1998408399807064	-0.12867358885814895	11.405551984977166	52.99408860717389
30	31	17	Superior frontal gyrus medial	SalVentAttnA	SalVentAttnA	0.0146620305577198	0.0020960721327925	0.0031472698148788	49.75017359164758	4.949552205301671	48.774416183948134
31	32	18	Precuneus superior	DorsAttnB	ContC	0.4776803660942104	0.0542252995075886	0.2151950658229062	0.07721741586530584	-66.63871942233864	58.118383817334006
32	33	19	Planum polare	SalVentAttnA	SomMotB	0.2596664497556605	0.0151129637570731	0.0725548302638323	-53.82061701106111	-1.6612490724400004	2.6954548216964582
33	34	19	Planum polare	SalVentAttnA	SomMotB	0.3171708125142401	0.0105169688801278	0.0897589985516392	55.405771250763905	0.3016028805558335	2.022724220143246
34	35	20	Parieto-occipital sulcus middle	VisCent	VisPeri	0.1998848622477811	0.142160600305305	0.0330845471638859	-10.586541743569427	-77.88497321979038	28.978166605534653
35	36	20	Parieto-occipital sulcus middle	VisCent	VisPeri	0.3005152684093919	0.1166264171080593	0.0620242880842014	12.928273683936709	-74.89447552168915	30.065980663396815
36	37	21	Cerebellum I-V	No network found	No network found	0.6573506084721366	0.1757344674887855	0.0211585078792789	1.794516311883939	-51.33583600317286	-23.268884370955675
37	38	22	Superior fornix and isthmus	No network found	DefaultC	0.3564377038061842	0.0408121954976377	0.4697536979256252	0.6164540110729462	-39.65327875546242	2.0234689913774417
38	39	23	Anterior Cingulate Cortex	DefaultB	SalVentAttnB	0.0258891927532671	0.0014603953160567	0.0036573932827147	0.4976066613758121	-14.2408855576397	35.87149748920626
39	40	23	Anterior Cingulate Cortex	DefaultB	SalVentAttnB	0.5981999378038064	0.0595112993750088	0.1097673163666834	1.006629639994415	37.70786509566645	23.663359069903834
40	41	24	Descending occipital gyrus	VisCent	VisCent	0.2036729207320352	0.1093558012397307	0.0256976214193294	-27.82166189396162	-87.41701617485418	20.135652442580238
41	42	24	Descending occipital gyrus	VisCent	VisCent	0.2541664858841748	0.166910314589634	0.0253199249679076	32.061225213462905	-83.72341868925244	20.401803678018283
42	43	25	Putamen	No network found	No network found	0.2402705547542051	0.1800995428102487	0.0014351677707547	-27.915188819737622	-4.190721368526724	3.172486263931404
43	44	25	Putamen	No network found	No network found	0.2511934586315598	0.1668193554875069	0.0010962643768188	28.055190859311637	-1.728617568252389	3.249211506113312
44	45	26	Cingulate gyrus mid-anterior	SalVentAttnA	SalVentAttnA	0.0745764732383174	0.002897877425322	0.0149134068873309	-55.747648858432896	11.518331683667014	-3.7393582150993723
45	46	26	Cingulate gyrus mid-anterior	SalVentAttnA	SalVentAttnA	0.5218420491507668	0.0522422276237006	0.1060808883109237	0.09355787880600985	14.92289386325595	36.528584318333785
46	47	26	Cingulate gyrus mid-anterior	SalVentAttnA	SalVentAttnA	0.0664480907105728	0.0011833351780058	0.0216675051710546	54.457143612702396	15.333928128334179	-5.266571118865173
47	48	27	Superior parietal lobule posterior	DorsAttnB	DorsAttnA	0.1612074893801995	0.1169051152884929	0.0412572037991152	-21.44135858838409	-69.7704646075907	52.06186685762654
48	49	27	Superior parietal lobule posterior	DorsAttnB	DorsAttnA	0.2317884534673613	0.1704257089149099	0.0553640397350686	19.610720529044656	-70.6697084306236	52.98373430264891
49	50	28	Paracentral lobule	SomMotA	SomMotA	0.4315416536662762	0.1694124699377433	0.1881388953832453	0.49122523248199457	-26.667190072588568	61.49287841763845
50	51	29	Inferior occipital gyrus	VisCent	VisCent	0.2791619280267876	0.058336275925872	0.0541079465722981	-27.306459469906088	-81.93104611004685	-17.827109414411936
51	52	29	Inferior occipital gyrus	VisCent	VisCent	0.3166886550320423	0.0963441045269249	0.0400531042046215	25.17352920920655	-81.68634711476551	-16.2554111866867
52	53	30	Superior rostral gyrus	DefaultB	DefaultA	0.5907413399661554	0.1078437227844143	0.1351703748894778	-0.8795183947648866	54.14388688036112	-0.9897048072108987
53	54	31	Calcarine sulcus anterior	VisCent	VisPeri	0.3074742064973894	0.148459658971594	0.0405744246333992	-12.20921069594526	-74.19102586912217	7.491078473895655
54	55	31	Calcarine sulcus anterior	VisCent	VisPeri	0.2771460881344226	0.1128676527805428	0.0329494622643125	13.153067986272376	-68.61064331188945	8.108291946138905
55	56	32	Intraparietal sulcus	ContA	ContA	0.3814357882269749	0.1968665023596904	0.0799413648780095	-35.93450385443991	-63.851627369425714	48.95770294076823
56	57	32	Intraparietal sulcus	ContA	ContA	0.0939222351478351	0.0505535704279266	0.0190946672394075	37.51621374935456	-64.08550425736179	47.91575025694361
57	58	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.203710959193758	0.1199122441716304	0.0577697641637296	-21.179649104945725	-54.90831231056377	65.6160518749522
58	59	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.140556777089836	0.0784482369383531	0.0396847638811809	18.835057025725405	-56.41907411234813	65.1935351207583
59	60	33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB	0.0924399192703442	0.0458281134961099	0.0305472253962767	32.88059625205665	-41.91741902002576	62.49051149482705
60	61	34	Precentral gyrus medial	SomMotA	SomMotA	0.5795457204457422	0.097546668156364	0.1596631006657788	0.41028484454838576	-5.301701848988017	52.77659831078472
61	62	35	Lingual gyrus anterior	VisCent	VisPeri	0.2613646115280726	0.0527414737482736	0.0503002044349369	-13.317856476023849	-55.539522716406765	1.3337027489642566
62	63	35	Lingual gyrus anterior	VisCent	VisPeri	0.271427965485939	0.0512112591667654	0.0467396268402643	15.495411347106156	-52.467575924636336	1.6631774040341156
63	64	36	Angular gyrus superior	DefaultB	ContB	0.0940406329637634	0.0293975528165506	0.0148423367020404	-53.62811868159229	-57.09592802082447	43.01693585064535
64	65	36	Angular gyrus superior	DefaultB	ContB	0.4086487501049782	0.1774720032644245	0.0467102818302834	51.856055266771364	-58.91922309881109	43.84790596762646
65	66	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.2341405020990709	0.0660407500902144	0.0339269394318095	-60.41441055879485	-37.07801936939582	25.744463208136963
66	67	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.2731009995671044	0.0980250427963441	0.0359556357541237	60.76800282474346	-29.443429842485614	29.773373189751183
67	68	37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA	0.0167212821497552	0.001452682497661	0.0030526681793181	59.5316994134308	9.725914626125103	12.240285561876732
68	69	38	Intraparietal sulcus LH	DorsAttnB	ContA	0.2144161450351658	0.0532620101363279	0.0294536680908484	-48.10309711685878	5.58968545913055	33.73301635245778
69	70	38	Intraparietal sulcus LH	DorsAttnB	ContA	0.3073866880840651	0.1648368053549682	0.0504302890192343	-39.94695756463524	-47.096284303621644	44.628424119550516
70	71	39	Dorsomedial prefrontal cortex antero-superior	DefaultB	DefaultB	0.5422540250436596	0.084036530962574	0.1489680410558786	-0.5454577090654169	56.81981955656522	20.692092951990105
71	72	40	Precentral gyrus superior	DorsAttnB	DorsAttnB	0.2674654023934915	0.0797654799470468	0.0491218677222142	-28.716993188513214	-5.223607336042747	56.77736239412627
72	73	40	Precentral gyrus superior	DorsAttnB	DorsAttnB	0.2690189915477461	0.0782524504015357	0.0497298352337761	29.450295463121975	-2.854395373902207	57.31272712725024
73	74	41	Postcentral gyrus inferior	SomMotA	SomMotB	0.2131831539978375	0.1330995246289024	0.0291934188834577	-54.61889536733767	-8.389063121192962	29.077144838256956
74	75	41	Postcentral gyrus inferior	SomMotA	SomMotB	0.2861286933859123	0.1341043254022189	0.0422409291335321	54.19825234485688	-5.741822476578747	28.708125494780134
75	76	42	Lateral occipital cortex	VisCent	DorsAttnA	0.2305698567968317	0.0709155529328925	0.0262822542344612	-49.68986937348964	-71.60815665122097	7.512522182948416
76	77	42	Lateral occipital cortex	VisCent	DorsAttnA	0.3655604193959069	0.1558013930552468	0.0294152792019771	52.09589208554448	-64.74475317551733	4.242671403628378
77	78	43	Callosomarginal sulcus	SalVentAttnA	SalVentAttnA	0.2520363041682382	0.0612952322054197	0.0451358698001794	-13.184279706438204	-37.10747867382386	49.031020659114375
78	79	43	Callosomarginal sulcus	SalVentAttnA	SalVentAttnA	0.33242295194347	0.0432402905015715	0.0979551232095718	10.557549882698083	-36.578591425009336	50.762468081264274
79	80	44	Paracentral lobule superior	SomMotA	SomMotA	0.3439780112241381	0.0878861051010119	0.1385132226973182	-0.448255949722153	-15.813628457648434	75.94344287888345
80	81	45	Heschl’s gyrus	SomMotA	SomMotB	0.3361497735750019	0.0557827241528299	0.0440160888614314	-40.97151490904318	-24.32559111180572	17.93253529804109
81	82	45	Heschl’s gyrus	SomMotA	SomMotB	0.3179176545385874	0.0528654208558987	0.0413335962568619	42.529471581940186	-25.97471661114433	18.486785569128728
82	83	46	Occipital pole	VisCent	VisCent	0.2392749075890523	0.1799539587775883	0.028179938820958	-27.609888915422417	-96.21925830520215	1.217474590484244
83	84	46	Occipital pole	VisCent	VisCent	0.1955766522686371	0.1605402898586186	0.0133987224095192	30.9716218520131	-93.81489481124339	1.3134639889394464
84	85	47	Thalamus	No network found	No network found	0.5242798997336278	0.3351575870237782	0.0011149667451913	-10.729737021500952	-16.887914630859186	8.104376222813158
85	86	48	Intraparietal sulcus RH	ContA	ContA	0.5107414699977609	0.2351918064363426	0.0971663195200361	41.940569119669874	-47.09494389206978	49.102795668578665
86	87	49	Inferior frontal sulcus	ContA	ContA	0.0375933665412186	0.0085705075850452	0.0037668199335654	-41.95646610387473	14.117516758686406	26.178638264027114
87	88	49	Inferior frontal sulcus	ContA	ContA	0.524360623152827	0.1266049592023321	0.0867174620277367	47.02446169720733	13.002117348827795	29.225451808195203
88	89	50	Postcentral gyrus LH	SomMotA	DorsAttnB	0.4418135612067871	0.2069709781760988	0.1120249664866818	-47.32388612772789	-33.72255000873176	52.08346984621858
89	90	51	Middle frontal gyrus	ContA	ContB	0.0415189231145145	0.0062382700489554	0.005045000286659	5.136019547251081	30.338792334301502	45.24287710237661
90	91	51	Middle frontal gyrus	ContA	ContB	0.4792292272558392	0.0993646163423538	0.0927832910653226	47.79609121056228	22.512757673142545	40.23808333753834
91	92	52	Inferior frontal gyrus	ContA	ContA	0.2266134082428519	0.0494233089758672	0.0495225483111791	-52.23226151364579	23.405858854308065	27.687301282377263
92	93	52	Inferior frontal gyrus	ContA	ContA	0.2849342613226592	0.0669582873744399	0.0426324329617419	-47.426374454052386	45.848402161108424	5.0118551884891644
93	94	53	Parieto-occipital sulcus anterior	DefaultB	DefaultC	0.3400863058111104	0.0379521045057939	0.054857261412082	-13.29291742313282	-60.4672435008094	17.120027963173257
94	95	53	Parieto-occipital sulcus anterior	DefaultB	DefaultC	0.2397646679443066	0.0796821838984581	0.0170767220926385	12.096309114074785	-57.65479526929771	17.212379394992183
95	96	54	Precuneus anterior	DorsAttnB	ContC	0.5542806470493118	0.1045341890179332	0.1624131727449271	0.7558441636639088	-48.79053622438481	50.65660784584193
96	97	55	Lingual gyrus	VisCent	VisCent	0.28348398622789	0.087091028694255	0.0211482445858092	-21.400426754717813	-71.26630633124006	-10.882882952387803
